days,active_users,weekday,date
28,2222,7,2014-10-12
29,2862,1,2014-10-13
30,2993,2,2014-10-14
31,2896,3,2014-10-15
32,2841,4,2014-10-16
33,2625,5,2014-10-17
34,2310,6,2014-10-18
35,2294,7,2014-10-19
36,3049,1,2014-10-20
37,3012,2,2014-10-21
38,2956,3,2014-10-22
39,2844,4,2014-10-23
40,2646,5,2014-10-24
41,2268,6,2014-10-25
42,2257,7,2014-10-26
43,3004,1,2014-10-27
44,3016,2,2014-10-28
45,2895,3,2014-10-29
46,2718,4,2014-10-30
47,2322,5,2014-10-31
48,2151,6,2014-11-01
49,2233,7,2014-11-02
50,3077,1,2014-11-03
51,3013,2,2014-11-04
52,2933,3,2014-11-05
53,2882,4,2014-11-06
54,2636,5,2014-11-07
55,2304,6,2014-11-08
56,2286,7,2014-11-09
57,3025,1,2014-11-10
58,2923,2,2014-11-11
59,2908,3,2014-11-12
60,2819,4,2014-11-13
61,2571,5,2014-11-14
62,2280,6,2014-11-15
63,2284,7,2014-11-16
64,2958,1,2014-11-17
65,2896,2,2014-11-18
66,2802,3,2014-11-19
67,2727,4,2014-11-20
68,2473,5,2014-11-21
69,2219,6,2014-11-22
70,2185,7,2014-11-23
71,2726,1,2014-11-24
72,2533,2,2014-11-25
73,2273,3,2014-11-26
74,1744,4,2014-11-27
75,1892,5,2014-11-28
76,1905,6,2014-11-29
77,1971,7,2014-11-30
78,2841,1,2014-12-01
79,2834,2,2014-12-02
80,2786,3,2014-12-03
81,2684,4,2014-12-04
82,2452,5,2014-12-05
83,2137,6,2014-12-06
84,2143,7,2014-12-07
85,2770,1,2014-12-08
86,2697,2,2014-12-09
87,2605,3,2014-12-10
88,2485,4,2014-12-11
89,2317,5,2014-12-12
90,2021,6,2014-12-13
91,2079,7,2014-12-14
92,2611,1,2014-12-15
93,2515,2,2014-12-16
94,2420,3,2014-12-17
95,2273,4,2014-12-18
96,2103,5,2014-12-19
97,1870,6,2014-12-20
98,1841,7,2014-12-21
99,2121,1,2014-12-22
100,1981,2,2014-12-23
101,1591,3,2014-12-24
102,1205,4,2014-12-25
103,1717,5,2014-12-26
104,1806,6,2014-12-27
105,1960,7,2014-12-28
106,2510,1,2014-12-29
107,2444,2,2014-12-30
108,2143,3,2014-12-31
109,2457,4,2015-01-01
110,2875,5,2015-01-02
111,2795,6,2015-01-03
112,2886,7,2015-01-04
113,4098,1,2015-01-05
114,4054,2,2015-01-06
115,4015,3,2015-01-07
116,3960,4,2015-01-08
117,3755,5,2015-01-09
118,3372,6,2015-01-10
119,3372,7,2015-01-11
120,4186,1,2015-01-12
121,4166,2,2015-01-13
122,4121,3,2015-01-14
123,4053,4,2015-01-15
124,3795,5,2015-01-16
125,3464,6,2015-01-17
126,3367,7,2015-01-18
127,4052,1,2015-01-19
128,4261,2,2015-01-20
129,4204,3,2015-01-21
130,4097,4,2015-01-22
131,3840,5,2015-01-23
132,3522,6,2015-01-24
133,3448,7,2015-01-25
134,4196,1,2015-01-26
135,4177,2,2015-01-27
136,4193,3,2015-01-28
137,4053,4,2015-01-29
138,3791,5,2015-01-30
139,3355,6,2015-01-31
140,3210,7,2015-02-01
141,4067,1,2015-02-02
142,4127,2,2015-02-03
143,4091,3,2015-02-04
144,3988,4,2015-02-05
145,3731,5,2015-02-06
146,3368,6,2015-02-07
147,3343,7,2015-02-08
148,4129,1,2015-02-09
149,4056,2,2015-02-10
150,3979,3,2015-02-11
151,3819,4,2015-02-12
152,3461,5,2015-02-13
153,3031,6,2015-02-14
154,3018,7,2015-02-15
155,3714,1,2015-02-16
156,3823,2,2015-02-17
157,3872,3,2015-02-18
158,3727,4,2015-02-19
159,3515,5,2015-02-20
160,3193,6,2015-02-21
161,3171,7,2015-02-22
162,3945,1,2015-02-23
163,3908,2,2015-02-24
164,3814,3,2015-02-25
165,3745,4,2015-02-26
166,3426,5,2015-02-27
167,3109,6,2015-02-28
168,3101,7,2015-03-01
169,3931,1,2015-03-02
170,3886,2,2015-03-03
171,3815,3,2015-03-04
172,3689,4,2015-03-05
173,3454,5,2015-03-06
174,3130,6,2015-03-07
175,3133,7,2015-03-08
176,3911,1,2015-03-09
177,3887,2,2015-03-10
178,3820,3,2015-03-11
179,3612,4,2015-03-12
180,3143,5,2015-03-13
181,2761,6,2015-03-14
