date,n_repeat,percentage_repeat_consumption,days,weekday,day
2014-10-12,0,0.0,28,7,Sun
2014-10-13,3612,0.21321055427660704,29,1,Mon
2014-10-14,7109,0.38724261902167995,30,2,Tue
2014-10-15,8553,0.4808027432683119,31,3,Wed
2014-10-16,8795,0.5243546175400942,32,4,Thu
2014-10-17,7710,0.5288791329400466,33,5,Fri
2014-10-18,5911,0.47470285897847736,34,6,Sat
2014-10-19,6000,0.4744958481613286,35,7,Sun
2014-10-20,9265,0.49752980345827513,36,1,Mon
2014-10-21,9840,0.5329289428076257,37,2,Tue
2014-10-22,9913,0.5548838511055135,38,3,Wed
2014-10-23,9553,0.5593418818431992,39,4,Thu
2014-10-24,7951,0.5420643577856559,40,5,Fri
2014-10-25,5782,0.48251689894016525,41,6,Sat
2014-10-26,6023,0.48133940701670264,42,7,Sun
2014-10-27,9070,0.49818741074371087,43,1,Mon
2014-10-28,9749,0.536278123109082,44,2,Tue
2014-10-29,9462,0.5503722661703118,45,3,Wed
2014-10-30,9145,0.5797514897933308,46,4,Thu
2014-10-31,6919,0.5536971830985915,47,5,Fri
2014-11-01,5401,0.47915188076650106,48,6,Sat
2014-11-02,5794,0.4738693056350699,49,7,Sun
2014-11-03,8702,0.4678494623655914,50,1,Mon
2014-11-04,9725,0.5329059126527481,51,2,Tue
2014-11-05,9457,0.5387683017148066,52,3,Wed
2014-11-06,9373,0.5498973305954825,53,4,Thu
2014-11-07,8055,0.5555555555555556,54,5,Fri
2014-11-08,5882,0.47813363680702325,55,6,Sat
2014-11-09,5960,0.47883024021852655,56,7,Sun
2014-11-10,9018,0.4914441416893733,57,1,Mon
2014-11-11,9184,0.5252201761409128,58,2,Tue
2014-11-12,9564,0.5455478866008785,59,3,Wed
2014-11-13,9273,0.5629894966911542,60,4,Thu
2014-11-14,8012,0.5521328647233134,61,5,Fri
2014-11-15,6047,0.497081792026305,62,6,Sat
2014-11-16,6050,0.48046378653113087,63,7,Sun
2014-11-17,8938,0.49796646052704885,64,1,Mon
2014-11-18,9764,0.5537030736078031,65,2,Tue
2014-11-19,9463,0.5589486119314826,66,3,Wed
2014-11-20,9142,0.5698435454715453,67,4,Thu
2014-11-21,7836,0.562890596939875,68,5,Fri
2014-11-22,5659,0.47982024758351705,69,6,Sat
2014-11-23,5886,0.47931596091205214,70,7,Sun
2014-11-24,8663,0.5332061303625285,71,1,Mon
