uid,perc_repeat_7,gender,age_group,regions_us
0,0.6089494163424124,Male,45+,NA
1,0.6042296072507553,NA,NA,NA
3,0.20535714285714285,Female,45+,NA
4,0.7902621722846442,Male,45+,NA
5,0.46870838881491345,Female,45+,Northeast
6,0.20634920634920634,Female,18-44,Midwest
7,0.5225225225225225,Female,18-44,NA
9,0.46680497925311204,Female,18-44,South
11,0.3978494623655914,Female,45+,NA
12,0.5048025613660619,Female,18-44,Midwest
14,0.44,Female,18-44,NA
15,0.47384615384615386,Female,45+,Midwest
16,0.01639344262295082,Female,18-44,South
18,0.4146341463414634,Male,18-44,South
19,0.23684210526315788,Female,18-44,South
22,0.0625,Female,18-44,NA
23,0.1875,Female,18-44,South
24,0.39565217391304347,Female,18-44,South
26,0.1694915254237288,Female,45+,Midwest
28,0.2727272727272727,Female,18-44,South
29,0.4740740740740741,Female,18-44,NA
30,0.5352439969016266,Male,18-44,South
31,0.4912891986062718,Female,18-44,Midwest
32,0.16129032258064516,Female,18-44,Midwest
33,0.45933014354066987,NA,NA,NA
34,0.2702702702702703,Female,18-44,West
35,0.64296875,Male,45+,West
36,0.4158415841584158,Female,18-44,West
38,0.730909090909091,Female,18-44,South
39,0.6695652173913044,Female,45+,Midwest
40,0.6369958275382476,Female,45+,Midwest
41,0.22807017543859648,Female,18-44,Midwest
42,0.798753339269813,Female,18-44,NA
43,0.33532934131736525,NA,NA,NA
44,0.2413793103448276,Female,18-44,NA
45,0.6984293193717277,NA,NA,NA
46,0.5717054263565892,Female,18-44,South
47,0.48444444444444446,Female,45+,NA
48,0.175,NA,NA,NA
49,0.5850694444444444,Female,45+,Northeast
51,0.3891625615763547,Female,18-44,Midwest
52,0.38860103626943004,Female,18-44,Midwest
55,0.3359840954274354,NA,NA,NA
56,0.3203125,Female,18-44,Midwest
58,0.6788321167883211,NA,NA,NA
61,0.2916666666666667,Male,45+,NA
62,0.2411467116357504,Female,18-44,Northeast
64,0.47058823529411764,Female,45+,South
65,0.7244258872651357,Male,18-44,Midwest
66,0.2962962962962963,Female,18-44,South
67,0.7634795111430626,NA,NA,NA
69,0.22448979591836735,Female,18-44,West
70,0.2669039145907473,Female,18-44,West
71,0.728110599078341,Female,18-44,NA
72,0.038461538461538464,NA,NA,NA
73,0.1588785046728972,Female,18-44,NA
74,0.4915254237288136,Female,18-44,NA
75,0.6853932584269663,Female,18-44,NA
76,0.24770642201834864,NA,NA,NA
77,0.34408602150537637,Female,18-44,NA
78,0.1506849315068493,NA,NA,NA
79,0.6268656716417911,Female,18-44,South
80,0.22727272727272727,Female,18-44,West
81,0.22,Female,18-44,NA
82,0.30650887573964497,Female,18-44,South
83,0.2903225806451613,NA,NA,NA
84,0.07894736842105263,Female,18-44,Northeast
86,0.29133858267716534,NA,NA,NA
87,0.40226628895184136,Female,18-44,NA
88,0.37995337995337997,Male,45+,NA
89,0.43529411764705883,Female,18-44,NA
92,0.4607250755287009,Female,45+,South
93,0.43661971830985913,NA,NA,NA
94,0.6855769230769231,Female,18-44,Northeast
96,0.45454545454545453,Female,18-44,Midwest
97,0.345679012345679,Female,18-44,South
98,0.36923076923076925,Male,18-44,West
99,0.2727272727272727,Male,18-44,South
100,0.5522388059701493,Male,45+,South
101,0.6725507502206531,Female,45+,South
102,0.4474708171206226,Female,18-44,West
103,0.06578947368421052,Female,18-44,West
104,0.5390428211586902,Female,45+,NA
106,0.045454545454545456,Female,18-44,South
108,0.25139664804469275,Female,18-44,West
109,0.07692307692307693,Female,18-44,Northeast
110,0.675603217158177,Female,18-44,NA
111,0.4384057971014493,Female,45+,South
112,0.25,Female,18-44,South
113,0.07692307692307693,Female,18-44,West
114,0.36009732360097324,Female,18-44,Midwest
116,0.1125,Female,18-44,West
117,0.5874769797421732,Female,18-44,NA
118,0.5112359550561798,Female,18-44,West
119,0.25,Female,18-44,West
121,0.40993788819875776,Female,18-44,NA
122,0.3384321223709369,NA,NA,NA
123,0.3829787234042553,Female,18-44,South
124,0.5853658536585366,Male,18-44,NA
125,0.3825503355704698,NA,NA,NA
127,0.49019607843137253,NA,NA,NA
128,0.4101796407185629,Female,18-44,NA
129,0.3,NA,NA,NA
130,0.2,Female,45+,South
131,0.5321100917431193,Female,18-44,NA
134,0.32786885245901637,NA,NA,NA
135,0.21818181818181817,Male,18-44,West
136,0.32558139534883723,Female,18-44,South
137,0.5767326732673267,Male,18-44,NA
138,0.35714285714285715,Female,18-44,NA
139,0.23076923076923078,Male,18-44,West
140,0.5,Female,18-44,NA
141,0.034482758620689655,Female,18-44,West
142,0.476027397260274,Female,18-44,NA
143,0.08695652173913043,NA,NA,NA
144,0.4566929133858268,Female,18-44,Northeast
146,0.48807854137447404,NA,NA,NA
147,0.5365853658536586,Female,18-44,West
148,0.25483870967741934,Female,18-44,South
150,0.40229885057471265,Female,18-44,South
151,0.34135338345864663,Female,18-44,West
152,0.5982905982905983,NA,NA,NA
153,0.29245283018867924,Female,18-44,Midwest
154,0.4158415841584158,Female,18-44,Northeast
155,0.413265306122449,Female,18-44,Northeast
157,0.3644859813084112,Female,18-44,NA
158,0.5486018641810919,Female,18-44,NA
159,0.2681564245810056,Female,18-44,Northeast
160,0.2897196261682243,Female,18-44,NA
162,0.47653061224489796,Female,18-44,Midwest
