uid,Model,nDCG@5,Gender,US Regions,Age Groups
0,Mixture Decay,0.5539114691948471,Male,,45+
1,Mixture Decay,0.6035242483932122,,,
3,Mixture Decay,0.3878450599028028,Female,,45+
4,Mixture Decay,0.8884212199331422,Male,,45+
5,Mixture Decay,0.5848264089529033,Female,Northeast,45+
6,Mixture Decay,0.3896320461217311,Female,Midwest,18-44
7,Mixture Decay,0.3541246490025252,Female,,18-44
9,Mixture Decay,0.37876836094264654,Female,South,18-44
11,Mixture Decay,0.3847160907678469,Female,,45+
12,Mixture Decay,0.6202201807730899,Female,Midwest,18-44
14,Mixture Decay,0.4723215927335443,Female,,18-44
15,Mixture Decay,0.5717948202619438,Female,Midwest,45+
16,Mixture Decay,0.07260130125081578,Female,South,18-44
18,Mixture Decay,0.598790469726912,Male,South,18-44
19,Mixture Decay,0.3048099750039491,Female,South,18-44
22,Mixture Decay,0.23463936301137825,Female,,18-44
23,Mixture Decay,0.2989034025072581,Female,South,18-44
24,Mixture Decay,0.27587346322245354,Female,South,18-44
26,Mixture Decay,0.17959100740990744,Female,Midwest,45+
28,Mixture Decay,0.2726118663467402,Female,South,18-44
29,Mixture Decay,0.4949368445228754,Female,,18-44
30,Mixture Decay,0.5920525344313179,Male,South,18-44
31,Mixture Decay,0.3577847813934074,Female,Midwest,18-44
32,Mixture Decay,0.15328679819136462,Female,Midwest,18-44
33,Mixture Decay,0.4518737002829049,,,
34,Mixture Decay,0.446503433816368,Female,West,18-44
35,Mixture Decay,0.8211103966315602,Male,West,45+
36,Mixture Decay,0.5338054363098284,Female,West,18-44
38,Mixture Decay,0.9005552539957031,Female,South,18-44
39,Mixture Decay,0.8322619835042558,Female,Midwest,45+
40,Mixture Decay,0.6491725126815673,Female,Midwest,45+
41,Mixture Decay,0.4772196925694287,Female,Midwest,18-44
42,Mixture Decay,0.785353837919655,Female,,18-44
43,Mixture Decay,0.29132122103861546,,,
44,Mixture Decay,0.16305215437991735,Female,,18-44
45,Mixture Decay,0.7830122461481278,,,
46,Mixture Decay,0.7839985593211976,Female,South,18-44
47,Mixture Decay,0.7318947768324755,Female,,45+
48,Mixture Decay,0.42735291096249134,,,
