uid,Meal,Model,nDCG@5
0,snack,Mixture Decay,0.5545748486715649
1,breakfast,Mixture Decay,0.4480813820436516
1,dinner,Mixture Decay,0.3692072440423804
1,lunch,Mixture Decay,0.20274218616538656
1,snack,Mixture Decay,0.8177063590912514
3,breakfast,Mixture Decay,0.7142857142857143
3,dinner,Mixture Decay,0.16666666666666666
3,lunch,Mixture Decay,0.3333333333333333
3,snack,Mixture Decay,0.4884405263948253
4,breakfast,Mixture Decay,0.9595129872506872
4,dinner,Mixture Decay,0.3333074277264023
4,lunch,Mixture Decay,0.8331726395793019
4,snack,Mixture Decay,0.7049881924196848
5,breakfast,Mixture Decay,0.8251094271403324
5,dinner,Mixture Decay,0.14294985843864366
5,lunch,Mixture Decay,0.3107728352007144
5,snack,Mixture Decay,0.21914555598303287
6,breakfast,Mixture Decay,0.5766433990956823
6,dinner,Mixture Decay,0.4077324383928643
6,lunch,Mixture Decay,0.3710490642551528
6,snack,Mixture Decay,0.0
7,breakfast,Mixture Decay,0.4544820718482464
7,dinner,Mixture Decay,0.20931647096728845
7,lunch,Mixture Decay,0.3181530831455067
7,snack,Mixture Decay,0.4148297331921866
9,snack,Mixture Decay,0.375738346173086
11,breakfast,Mixture Decay,0.4201853157425871
11,dinner,Mixture Decay,0.2377695386113064
11,lunch,Mixture Decay,0.5085376807605485
11,snack,Mixture Decay,0.532959471216546
12,snack,Mixture Decay,0.6186139702844139
14,breakfast,Mixture Decay,0.3480800814094853
14,dinner,Mixture Decay,0.3927176606135889
14,lunch,Mixture Decay,0.5062530441645751
14,snack,Mixture Decay,0.0
15,breakfast,Mixture Decay,0.8691387968573062
15,dinner,Mixture Decay,0.4080357620714484
15,lunch,Mixture Decay,0.24415745455564844
15,snack,Mixture Decay,0.4363259546420569
16,breakfast,Mixture Decay,0.183368079932369
16,dinner,Mixture Decay,0.0
16,lunch,Mixture Decay,0.0
18,breakfast,Mixture Decay,0.8107460851229599
18,dinner,Mixture Decay,0.20438239758848614
18,lunch,Mixture Decay,0.13594282728800636
18,snack,Mixture Decay,0.6201783771939628
19,breakfast,Mixture Decay,0.3467132018086354
19,snack,Mixture Decay,1.0
22,lunch,Mixture Decay,0.3199534648580313
22,snack,Mixture Decay,0.0
23,breakfast,Mixture Decay,0.5995361353906405
23,dinner,Mixture Decay,0.4
23,lunch,Mixture Decay,0.3333333333333333
23,snack,Mixture Decay,0.21030991785715245
24,breakfast,Mixture Decay,0.4088325384165212
